Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
,,,,,,
,,,,,,
,,S.No,Product name ,Packing ,MRP,Composition
,,1,Tangi Iron Drops,15ml,150,"Liposomal Iron 5 mg, Folic Acid 30 mcg, Vitamin B_{12} 0.9 mcg / 0.5 ml"
,,2,Tangi Iron Syrup,200ml,270,"Liposomal Iron 10 mg, Folic Acid 50 mcg, Vitamin B_{12} 1 mcg / 5 ml"
,,3,Tangi Iron Gummies,,,Ferric Pyrophosphate 13 mg ((Fe Standardized to 8% elemental iron))
,,4,Floravate GG,15ml,445,"Lactobacillus rhamnosus GG, NLT 1 Billion cells/0.5ml"
,,5,Floravate-S,10ml,,Saccharomyces boulardii 2.5 billion/5ml
,,6,Daily Solo Drops,30ml,220,"Vit. A 800 IU, Vit. D_3 400 IU, Vit E 5 mg, Vit. K_{2-7} 10 mcg, Vit. B_1 0.5 mg,Vit. B_6 0.5 mg, Vit. B_{12} 1 mcg, Folic Acid 100 mcg, Vit. C 30 mg,Zinc 2 mg, Liposomal Iron 2 mg, Iodine 30 mcg, Selenium 5 mcg,Lutein 0.5 mg, DHA 25 mg, Inulin 25 mg, Probiotic 1 Billion CFU,Choline 20 mg/1 ml."
,,7,Daily Solo Syrup,100ml,100,"Vit. A 1500 IU, Vit. D_3 400 IU, Vit E 6 mg, Vit. K_{2-7} 10 mcg, Vit. B_1 0.8 mg,Vit. B_6 1 mg, Vit. B_{12} 2.2 mcg, Folic Acid 100 mcg, Vit. C 30 mg,Zinc 2 mg, Liposomal Iron 2 mg, Iodine 50 mcg, Selenium 5 mcg,Lutein 0.5 mg, DHA 25 mg, Inulin 25 mg, Probiotic 2 Billion CFU,"
,,9,Losmo Flush-B,200ml,,"Bacillus coagulans 2 Billion CFU, Lactulose 10 gm/15 ml"
,,10,Rutivate,5ml,550,"Lactobacillus reuteri 1E1, 100 Million CFU/5 drops"
,,11,Thedigi Soft,10ml,325,"Bacillus coagulans 500 Million CFU, Alpha amylase 20 mg, Papain 10 mg, Lactase 6 mg, Dill Oil 2 mg, Fennel Oil 0.0007 ml/1 ml"
,,12,Thedigi Soft,50ml,299,"Dry Syp: Bacillus coagulans 500 Million CFU, Alpha amylase 25 mg, Papain 10 mg, Lipase 1.5 mg/5 ml"
,,13,Thedigi ,15ml,140,"Alpha Amylase 20 mg, Papain 10 mg, Dill Oil 2 mg, Anise Oil 2 mg, Caraway Oil 2 mg/1 ml"
,,14,Thedigi-Lact,15ml,,Lactase Enzyme 600 FCC units/1 ml
,,15,Tangical,15ml,,"Liposomal Calcium 40 mg, Vitamin D_3 400 IU, Vitamin K_{2-7} (MK-7) 10 mcg, Liposomal Magnesium 10 mg, Zinc 2 mg/1 ml"
,,16,Tangical Syrup,200ml,230,"Liposomal Calcium 350 mg, Vitamin D_3 200 IU, Vitamin K_{2-7} 12 mcg/5ml"
,,17,Colanese-Peg,200ml,350,Polyethylene Glycol 4000 - 10 gm/25 ml
,,18,TANGI-IQ,200ML,900,"L-carnosine 100 mg, DHA 335 mg & Vitamin D_3 400 IU/5 ml"
