product_slug,pack_label,pack_size_value,pack_size_unit,mrp,ptr,sku,sort_order,is_active
d-good,Standard Pack,,,90,64,DGOOD,1,True
tangi-iron-syrup-200ml,Standard Pack,200,ml,270,,TANGIIRONSYRUP200M-200ML,1,True
tusnorm,Standard Pack,,,,,TUSNORM,1,True
1-tufgaba-gat,Standard Pack,,,250,179,1TUFGABAGAT,1,True
21-purnas-24-200-ml-syp-multivitamin-multimineral-with-l,Bottle,200,ml,,,21PURNAS24200MLSYP-200ML,1,True
tuber-forte-3,Standard Pack,,,190,136,TUBERFORTE3,1,True
10-myotizer,Standard Pack,,,,,10MYOTIZER,1,True
esmofresh-dsr-2,Standard Pack,,,140,100,ESMOFRESHDSR2,1,True
16-palminorm,Standard Pack,,,250,167.5,16PALMINORM,1,True
1-laminif-100ml,Standard Pack,100,ml,,,1LAMINIF100ML-100ML,1,True
winhance-tab-benfotiamine-200-mg-methylcobalamin-1000-nano-gram-alpha-lipoic-acid-200-mg-folic-acid-1-5-mg-chromium-picolinate-200-mcg-d-chiro-inositol-13-8mg-myo,Standard Pack,200,mg,250,179,WINHANCETABBENFOTI-200MG,1,True
purnas-24-200-ml-syp-multivitamin-multimineral-with-l,Bottle,200,ml,,,PURNAS24200MLSYPMU-200ML,1,True
8-daily-solo-tablets-astaxanthin-2mg-taurine-100mg-curcuma-longa-50-mg-liquorice-30mg-cinnamon-30mg-clove-30mg-cranberry-25-mg-green-tea-25-mg-boswellia-serrata,Standard Pack,2,mg,,,8DAILYSOLOTABLETSA-2MG,1,True
5-jiomax-d3-2,Standard Pack,,,220,157,5JIOMAXD32,1,True
15-esmofresh-dsr,Standard Pack,,,140,100,15ESMOFRESHDSR,1,True
12-purnas-24-200-ml-syp-multivitamin-multimineral-with-l,Bottle,200,ml,,,12PURNAS24200MLSYP-200ML,1,True
6-esmofresh,Standard Pack,,,120,86,6ESMOFRESH,1,True
jointee-tf,Standard Pack,,,,,JOINTEETF,1,True
daily-solo-syrup-100ml,Standard Pack,100,ml,100,,DAILYSOLOSYRUP100M-100ML,1,True
14-esmofresh,Standard Pack,,,120,86,14ESMOFRESH,1,True
mimoza,Standard Pack,,,,,MIMOZA,1,True
lidophen-ear-drops,Standard Pack,,,160,114,LIDOPHENEARDROPS,1,True
finemef-ds,Standard Pack,,,70,50,FINEMEFDS,1,True
tangi-iq-200ml,Standard Pack,200,ml,900,,TANGIIQ200ML-200ML,1,True
