id,division_id,category_id,name,slug,short_desc,composition,sort_order,is_active,created_at,updated_at
02d5bf93-6932-4484-8589-3f89be0d9118,88573051-9454-4d14-a106-256cdad84189,a57bed34-82d6-4246-945f-bc21247b44bd," D GOOD",d-good,,Vitamin D3 oral solution 60000  IU/5 ml,8,true,2026-03-05 15:47:37.814655+00,2026-03-05 15:52:25.645879+00
031a2d69-a002-4b93-9d70-8d56b8cae452,aaefb005-155a-4852-83b3-1adf2166dd41,5349b753-a731-46f6-b7f8-c07fa4f2d9e5,Tangi Iron Syrup (200ml),tangi-iron-syrup-200ml,,"Liposomal Iron 10 mg, Folic Acid 50 mcg, Vitamin B_{12} 1 mcg / 5 ml",10,true,2026-03-05 15:44:23.539503+00,2026-03-05 15:44:23.539503+00
054125c8-cae5-40ea-8714-c1fd60b9227c,695899c3-d607-49f5-ae67-a545fac083b8,5349b753-a731-46f6-b7f8-c07fa4f2d9e5,TUSNORM,tusnorm,,"XT -Acebrophylline 50mg, Guaiphenesin 50mg, Terbutaline 12.5mg /5ml syrup",28,true,2026-03-05 14:31:18.746233+00,2026-03-05 14:42:01.157317+00
08d9dea1-69fe-4d10-863f-d745172c8a51,337b0bac-3d9b-4a9d-a32b-af29168149a5,9577f52b-ab35-4158-9bcd-109cc32f5aba," TUFGABA GAT",1-tufgaba-gat,,Gabapentin & Amitriptyline tablets,1,true,2026-03-05 15:51:50.699647+00,2026-03-05 15:52:31.458651+00
09219239-b882-4080-9a0a-5502b71b7996,337b0bac-3d9b-4a9d-a32b-af29168149a5,5349b753-a731-46f6-b7f8-c07fa4f2d9e5," PURNAS 24 200 ML SYP-Multivitamin,Multimineral with L",21-purnas-24-200-ml-syp-multivitamin-multimineral-with-l,,Lysine,14,true,2026-03-05 15:51:50.699647+00,2026-03-05 15:52:41.643582+00
093fbe71-d692-4af8-a2f0-d74b667e3f00,b821c8d5-97b0-4262-9433-70e94c600449,9577f52b-ab35-4158-9bcd-109cc32f5aba,TUBER FORTE,tuber-forte-3,,"Aceclofenac 100mg ,Paracetamol 325mg & Trypsin & Chymotrypsin (6;1)-1,50,000 IU Tablets",12,true,2026-03-05 15:46:11.35997+00,2026-03-05 15:46:11.35997+00
0d30226e-c5b2-4db3-8532-4f28c1231f9b,337b0bac-3d9b-4a9d-a32b-af29168149a5,9577f52b-ab35-4158-9bcd-109cc32f5aba,10) Myotizer,10-myotizer,,"L carnitine, L  Tartarate, Vit E, Benfotiamine, Vit C, Co Q 10, Pyridoxine, Riboflavin",2,true,2026-03-05 15:51:50.699647+00,2026-03-05 15:51:50.699647+00
0fab41aa-1d98-4b11-996a-49d17597f35e,1a622c56-53e9-457a-af01-09cd550e3850,9577f52b-ab35-4158-9bcd-109cc32f5aba,ESMOFRESH DSR,esmofresh-dsr-2,,Esomeprazole 40mg & Sustained release Domperidone 30mg capsules,8,true,2026-03-05 15:57:11.815034+00,2026-03-05 15:57:11.815034+00
11535fdf-d1d0-4175-a8d5-ff26eb1419cf,337b0bac-3d9b-4a9d-a32b-af29168149a5,9577f52b-ab35-4158-9bcd-109cc32f5aba,16) Palminorm,16-palminorm,,"Palmitoylethanolamide 300 mg, Daidzein 50 mg, Genistein 4 mg Tablets",8,true,2026-03-05 15:51:50.699647+00,2026-03-05 15:51:50.699647+00
11db142c-4e9e-410f-aa2c-5559c59dce8d,88573051-9454-4d14-a106-256cdad84189,9577f52b-ab35-4158-9bcd-109cc32f5aba,1) LAMINIF 100ML,1-laminif-100ml,,"L Arginine 3g, Vitamin C  40mg, Vitamin E 10mg, Vit B6 2mg, Folic Acid 120mcg, Vitamin B12 1mcg, Zinc 10 mg per 15 ml",1,true,2026-03-05 15:47:37.814655+00,2026-03-05 15:47:37.814655+00
11e60a0b-1e62-4a70-b074-e6fea6eafdca,b821c8d5-97b0-4262-9433-70e94c600449,9577f52b-ab35-4158-9bcd-109cc32f5aba,"WINHANCE TAB-Benfotiamine 200 mg, Methylcobalamin 1000 nano gram , Alpha Lipoic Acid 200 mg, Folic acid 1.5 mg, Chromium Picolinate 200 mcg, D Chiro inositol 13.8mg,  Myo",winhance-tab-benfotiamine-200-mg-methylcobalamin-1000-nano-gram-alpha-lipoic-acid-200-mg-folic-acid-1-5-mg-chromium-picolinate-200-mcg-d-chiro-inositol-13-8mg-myo,,"Inositol 100 mg & Pyridoxine Hydrochloride 3 mg Tablets, Vitamin D3 600 IU",15,true,2026-03-05 15:46:11.35997+00,2026-03-05 15:46:11.35997+00
126f4211-962f-40a8-aa43-247731471f62,695899c3-d607-49f5-ae67-a545fac083b8,5349b753-a731-46f6-b7f8-c07fa4f2d9e5,"PURNAS 24 200 ML SYP-Multivitamin,Multimineral with L",purnas-24-200-ml-syp-multivitamin-multimineral-with-l,,Lysine,23,true,2026-03-05 14:31:18.746233+00,2026-03-05 14:42:01.157317+00
