division_slug,category_slug,name,slug,composition
gynac,tablets-capsules,1) LAMINIF 100ML,1-laminif-100ml,"L Arginine 3g, Vitamin C  40mg, Vitamin E 10mg, Vit B6 2mg, Folic Acid 120mcg, Vitamin B12 1mcg, Zinc 10 mg per 15 ml"
gynac,tablets-capsules,2) LAMINIF 210ML,2-laminif-210ml,"L Arginine 3g, Vitamin C  40mg, Vitamin E 10mg, Vit B6 2mg, Folic Acid 120mcg, Vitamin B12 1mcg, Zinc 10 mg per 15 ml"
gynac,tablets-capsules,3) GF -18 Tablets,3-gf-18-tablets,"Myo-Inositol (40:1) 1100mg , D-Chiro Inositol (40:1) 27.6 mg, Ubiquinone (Coenzyme Q10) 100 mg,Astaxanthin 1mg,L-Carnitine L-Tartrate 50mg,L-Arginine 10mg,  Melatonin 2mg, Berberine 50mg Lecithin 2mg,Quatrefolic Acid 51 mcg tablets"
gynac,tablets-capsules,"4) CALVNH TAB-Elemental Ca- 500 mg, Vit D3-2000 IU, Methylcobalamin 1500 mcg, L Methylfolate calcium 1mg,Prridoxal 5 Phosphate",4-calvnh-tab-elemental-ca-500-mg-vit-d3-2000-iu-methylcobalamin-1500-mcg-l-methylfolate-calcium-1mg-prridoxal-5-phosphate,20mg
gynac,tablets-capsules,5) JIOMAX D3,5-jiomax-d3,"Calcitriol 0.25mcg,Methylcobalamin 1500mcg,Calcium Carbonate 500mg, Eicosapentaenoic Acid 180mg,Docosahexaenoic Acid 120mg,Folic Acid  400mcg  with Boron1.5mg capsules"
gynac,tablets-capsules,6) MIGRACE,6-migrace,"Magnesium oxide,Coenzyme Q10 & Riboflavin  Tablets"
gynac,tablets-capsules,7) TUBER FORTE,7-tuber-forte,"Aceclofenac 100mg ,Paracetamol 325mg & Trypsin & Chymotrypsin (6;1)-1,50,000 IU Tablets"
gynac,tablets-capsules,8) ESMOFRESH,8-esmofresh,Esomeprazole gastro-resistant tablets IP 40 mg
gynac,tablets-capsules,9) ESMOFRESH DSR,9-esmofresh-dsr,Esomeprazole 40mg & Sustained release Domperidone 30mg capsules
gynac,tablets-capsules,"10) Daily Solo Tablets - Astaxanthin 2mg, Taurine 100mg, Curcuma Longa 50 mg, Liquorice 30mg, Cinnamon 30mg, Clove 30mg, Cranberry 25 mg, Green Tea 25 mg, Boswellia serrata",10-daily-solo-tablets-astaxanthin-2mg-taurine-100mg-curcuma-longa-50-mg-liquorice-30mg-cinnamon-30mg-clove-30mg-cranberry-25-mg-green-tea-25-mg-boswellia-serrata,"25mg, Lycopene 2500 mcg , Multiminerals, Multivitamins"
gynac,syrups,11) COLANESE PEG,11-colanese-peg,Polyethylene glycol 3350 USP 13.125g
gynac,syrups,12) COLANESE PEG,12-colanese-peg,Polyethylene Glycol 4000 IP 10g
gynac,syrups,13) DE SATURATE,13-de-saturate,"Potassium Citrate 1100mg ,Magnesium Citrate 375 mg & Vitamin B6 20 mg / 5ml Oral Solution"
gynac,syrups,"14) PURNAS 24 200 ML SYP-Multivitamin,Multimineral with L",14-purnas-24-200-ml-syp-multivitamin-multimineral-with-l,Lysine
gynac,syrups,15) Daily Solo Syrup,15-daily-solo-syrup,"Multivitamins, Multiminerals, Taurine, Co-enzyme Q10, Alpha Lipolic Acid, Curcumin, Probiotics"
gynac,nano-shots,16) D GOOD,16-d-good,Vitamin D3 oral solution 60000  IU/5 ml
