division_slug,category_slug,name,slug,composition
neuroshine,tablets-capsules,TUFGABA GAT,1-tufgaba-gat,Gabapentin & Amitriptyline tablets
neuroshine,tablets-capsules, TUFGABA NT 100,2-tufgaba-nt-100,Gabapentin 100 mg & Nortriptyline 10 mg tablets
neuroshine,tablets-capsules, TUFGABA NT 200,3-tufgaba-nt-200,Gabapentin 100 mg & Nortriptyline 10 mg tablets
neuroshine,tablets-capsules, Tufgaba NT 400,4-tufgaba-nt-400,"Gabapentin 400 mg , Nortriptyline 10 mg"
neuroshine,tablets-capsules,Tufgaba GAT,5-tufgaba-gat,"Gabapentin 300 mg , Amitriptyline 10 mg"
neuroshine,tablets-capsules, TUFGABA 100,6-tufgaba-100,Gabapentin 100 mg
neuroshine,tablets-capsules,MIGRACE,7-migrace,"Magnesium oxide,Coenzyme Q10 & Riboflavin  Tablets"
neuroshine,tablets-capsules,VESTINE,8-vestine,Duloxetine 20mg tablets
neuroshine,tablets-capsules,"WINHANCE TAB-Benfotiamine 200 mg, Methylcobalamin 1000 nano gram , Alpha Lipoic Acid 200 mg, Folic acid 1.5 mg, Chromium Picolinate 200 mcg, D Chiro inositol 13.8mg,  Myo",9-winhance-tab-benfotiamine-200-mg-methylcobalamin-1000-nano-gram-alpha-lipoic-acid-200-mg-folic-acid-1-5-mg-chromium-picolinate-200-mcg-d-chiro-inositol-13-8mg-myo,"Inositol 100 mg & Pyridoxine Hydrochloride 3 mg Tablets, Vitamin D3 600 IU"
neuroshine,tablets-capsules,Myotizer,10-myotizer,"L carnitine, L  Tartarate, Vit E, Benfotiamine, Vit C, Co Q 10, Pyridoxine, Riboflavin"
neuroshine,tablets-capsules,"CALVNH TAB-Elemental Ca- 500 mg+ Vit D3-2000 IU, Methylcobalamin 1500 mcg, L Methylfolate calcium 1mg,Prridoxal 5 Phosphate",11-calvnh-tab-elemental-ca-500-mg-vit-d3-2000-iu-methylcobalamin-1500-mcg-l-methylfolate-calcium-1mg-prridoxal-5-phosphate,20mg
neuroshine,tablets-capsules, JIOMAX D3,12-jiomax-d3,"Calcitriol 0.25mcg,Methylcobalamin 1500mcg,Calcium Carbonate 500mg, Eicosapentaenoic Acid 180mg,Docosahexaenoic Acid 120mg,Folic Acid  400mcg  with Boron1.5mg capsules"
neuroshine,tablets-capsules,TUBER FORTE,13-tuber-forte,"Aceclofenac 100mg ,Paracetamol 325mg & Trypsin & Chymotrypsin (6;1)-1,50,000 IU tablets"
neuroshine,tablets-capsules, ESMOFRESH,14-esmofresh,Esomeprazole gastro-resistant tablets IP 40 mg
neuroshine,tablets-capsules,ESMOFRESH DSR,15-esmofresh-dsr,Esomeprazole 40mg & Sustained release Domperidone 30mg capsules
neuroshine,tablets-capsules,Palminorm,16-palminorm,"Palmitoylethanolamide 300 mg, Daidzein 50 mg, Genistein 4 mg Tablets"
neuroshine,tablets-capsules,"Daily Solo Tablets - Astaxanthin 2mg, Taurine 100mg, Curcuma Longa 50 mg, Liquorice 30mg, Cinnamon 30mg, Clove 30mg, Cranberry 25 mg, Green Tea 25 mg, Boswellia serrata",17-daily-solo-tablets-astaxanthin-2mg-taurine-100mg-curcuma-longa-50-mg-liquorice-30mg-cinnamon-30mg-clove-30mg-cranberry-25-mg-green-tea-25-mg-boswellia-serrata-2,"25mg, Lycopene 2500 mcg , Multiminerals, Multivitamins"
neuroshine,tablets-capsules, Myotizer,20-myotizer,"L carnitine, L  Tartarate, Vit E, Benfotiamine, Vit C, Co Q 10, Pyridoxine, Riboflavin"
neuroshine,syrups, COLANESE PEG,18-colanese-peg,Polyethylene glycol 3350 USP 13.125g
neuroshine,syrups, COLANESE PEG,19-colanese-peg,Polyethylene Glycol 4000 IP 10g
neuroshine,syrups," PURNAS 24 200 ML SYP-Multivitamin,Multimineral with L",21-purnas-24-200-ml-syp-multivitamin-multimineral-with-l,Lysine
neuroshine,syrups,Daily Solo Syrup,22-daily-solo-syrup,"Multivitamins, Multiminerals, Taurine, Co-enzyme Q10, Alpha Lipolic Acid, Curcumin, Probiotics"
neuroshine,syrups,Nano Shots - 22 )  D GOOD,nano-shots-22-d-good,Vitamin D3 oral solution 60000  IU/5 ml
