division_slug,category_slug,name,slug,composition
ortho,tablets-capsules,JOINTEE  TF,jointee-tf,"Collagen (Type I, II, V, X) 200 mg, Mucopolysaccharides 50mg , Chondriotin Sulphate 100 mg, Hyaluronic Acid 75mg Capsules"
ortho,tablets-capsules,"CALVNH -Elemental Ca- 500 mg+ Vit D3-2000 IU, Methylcobalamin 1500 mcg, L Methylfolate calcium 1mg,Prridoxal 5 Phosphate",calvnh-elemental-ca-500-mg-vit-d3-2000-iu-methylcobalamin-1500-mcg-l-methylfolate-calcium-1mg-prridoxal-5-phosphate,20mg Tablets
ortho,tablets-capsules,JIOMAX D3,jiomax-d3,"Calcitriol 0.25mcg,Methylcobalamin 1500mcg,Calcium Carbonate 500mg, Eicosapentaenoic Acid 180mg,Docosahexaenoic Acid 120mg,Folic Acid  400mcg  with Boron1.5mg Capsules"
ortho,tablets-capsules,TUBER FORTE,tuber-forte,"Aceclofenac 100mg ,Paracetamol 325mg & Trypsin & Chymotrypsin (6;1)-1,50,000 IU Tablets"
ortho,tablets-capsules,ESMOFRESH,esmofresh,Esomeprazole Gastro-Resistant Tablets IP 40 mg
ortho,tablets-capsules,ESMOFRESH DSR,esmofresh-dsr,Esomeprazole 40mg & Sustained Release Domperidone 30mg Capsules
ortho,tablets-capsules,Tufgaba 100,tufgaba-100,Gabapentin 100 mg
ortho,tablets-capsules,Tufgaba NT 100,tufgaba-nt-100,"Gabapentin 100 mg , Nortriptyline 10 mg"
ortho,tablets-capsules,Tufgaba NT 200,tufgaba-nt-200,"Gabapentin 200 mg , Nortriptyline 10 mg"
ortho,tablets-capsules,Tufgaba NT 400,tufgaba-nt-400,"Gabapentin 400 mg , Nortriptyline 10 mg"
ortho,tablets-capsules,Tufgaba GAT,tufgaba-gat,"Gabapentin 300 mg , Amitriptyline 10 mg"
ortho,tablets-capsules,"17) Daily Solo Tablets - Astaxanthin 2mg, Taurine 100mg, Curcuma Longa 50 mg, Liquorice 30mg, Cinnamon 30mg, Clove 30mg, Cranberry 25 mg, Green Tea 25 mg, Boswellia serrata",17-daily-solo-tablets-astaxanthin-2mg-taurine-100mg-curcuma-longa-50-mg-liquorice-30mg-cinnamon-30mg-clove-30mg-cranberry-25-mg-green-tea-25-mg-boswellia-serrata,"25mg, Lycopene 2500 mcg , Multiminerals, Multivitamins Syrup"
ortho,tablets-capsules,"18) WINHANCE TAB-Benfotiamine 200 mg, Methylcobalamin 1000 nano gram , Alpha Lipoic Acid 200 mg, Folic acid 1.5 mg, Chromium Picolinate 200 mcg, D Chiro inositol 13.8mg,  Myo",18-winhance-tab-benfotiamine-200-mg-methylcobalamin-1000-nano-gram-alpha-lipoic-acid-200-mg-folic-acid-1-5-mg-chromium-picolinate-200-mcg-d-chiro-inositol-13-8mg-myo,"Inositol 100 mg & Pyridoxine Hydrochloride 3 mg Tablets, Vitamin D3 600 IU"
ortho,tablets-capsules,19) Myotozer,19-myotozer,"L carnitine, L  Tartarate, Vit E, Benfotiamine, Vit C, Co Q 10, Pyridoxine, Riboflavin"
ortho,syrups,JOINTEE  CIS,jointee-cis,"Cissus quadrangularis 500mg,Withania somnifera 200mg, Ergocalciferal 400IU,Phosphorus 10mg,Calcium 100mg,Vitamin B12 300mcg,Folic Acid 300mcg & Vitamin B6 0.75mg / 10 ml Syrup"
ortho,syrups,"PURNAS 24 200 ML SYP-Multivitamin,Multimineral with L",purnas-24-200-ml-syp-multivitamin-multimineral-with-l-2,Lysine
ortho,syrups,Daily Solo Syrup,daily-solo-syrup,"Multivitamins, Multiminerals, Taurine, Co-enzyme Q10, Alpha Lipolic Acid, Curcumin, Probiotics"
ortho,nano-shots,D GOOD,d-good,Vitamin D3 Oral Solution 60000  IU/5 ml
