division_slug,category_slug,name,slug,composition
,,Tangi Iron Drops 15ml,tangi-iron-drops-15ml,"Liposomal Iron 5 mg, Folic Acid 30 mcg, Vitamin B_{12} 0.9 mcg / 0.5 ml"
,,Tangi Iron Syrup 200ml,tangi-iron-syrup-200ml,"Liposomal Iron 10 mg, Folic Acid 50 mcg, Vitamin B_{12} 1 mcg / 5 ml"
,,Tangi Iron Gummies nan,tangi-iron-gummies-nan,Ferric Pyrophosphate 13 mg ((Fe Standardized to 8% elemental iron))
,,Floravate GG 15ml,floravate-gg-15ml,"Lactobacillus rhamnosus GG, NLT 1 Billion cells/0.5ml"
,,Floravate-S 10ml,floravate-s-10ml,Saccharomyces boulardii 2.5 billion/5ml
,,Daily Solo Drops 30ml,daily-solo-drops-30ml,"Vit. A 800 IU, Vit. D_3 400 IU, Vit E 5 mg, Vit. K_{2-7} 10 mcg, Vit. B_1 0.5 mg,Vit. B_6 0.5 mg, Vit. B_{12} 1 mcg, Folic Acid 100 mcg, Vit. C 30 mg,Zinc 2 mg, Liposomal Iron 2 mg, Iodine 30 mcg, Selenium 5 mcg,Lutein 0.5 mg, DHA 25 mg, Inulin 25 mg, Probiotic 1 Billion CFU,Choline 20 mg/1 ml."
,,Daily Solo Syrup 100ml,daily-solo-syrup-100ml,"Vit. A 1500 IU, Vit. D_3 400 IU, Vit E 6 mg, Vit. K_{2-7} 10 mcg, Vit. B_1 0.8 mg,Vit. B_6 1 mg, Vit. B_{12} 2.2 mcg, Folic Acid 100 mcg, Vit. C 30 mg,Zinc 2 mg, Liposomal Iron 2 mg, Iodine 50 mcg, Selenium 5 mcg,Lutein 0.5 mg, DHA 25 mg, Inulin 25 mg, Probiotic 2 Billion CFU,"
,,Losmo Flush-B 200ml,losmo-flush-b-200ml,"Bacillus coagulans 2 Billion CFU, Lactulose 10 gm/15 ml"
,,Rutivate 5ml,rutivate-5ml,"Lactobacillus reuteri 1E1, 100 Million CFU/5 drops"
,,Thedigi Soft 10ml,thedigi-soft-10ml,"Bacillus coagulans 500 Million CFU, Alpha amylase 20 mg, Papain 10 mg, Lactase 6 mg, Dill Oil 2 mg, Fennel Oil 0.0007 ml/1 ml"
,,Thedigi Soft 50ml,thedigi-soft-50ml,"Dry Syp: Bacillus coagulans 500 Million CFU, Alpha amylase 25 mg, Papain 10 mg, Lipase 1.5 mg/5 ml"
,,Thedigi 15ml,thedigi-15ml,"Alpha Amylase 20 mg, Papain 10 mg, Dill Oil 2 mg, Anise Oil 2 mg, Caraway Oil 2 mg/1 ml"
,,Thedigi-Lact 15ml,thedigi-lact-15ml,Lactase Enzyme 600 FCC units/1 ml
,,Tangical 15ml,tangical-15ml,"Liposomal Calcium 40 mg, Vitamin D_3 400 IU, Vitamin K_{2-7} (MK-7) 10 mcg, Liposomal Magnesium 10 mg, Zinc 2 mg/1 ml"
,,Tangical Syrup 200ml,tangical-syrup-200ml,"Liposomal Calcium 350 mg, Vitamin D_3 200 IU, Vitamin K_{2-7} 12 mcg/5ml"
,,Colanese-Peg 200ml,colanese-peg-200ml,Polyethylene Glycol 4000 - 10 gm/25 ml
,,TANGI-IQ 200ML,tangi-iq-200ml,"L-carnosine 100 mg, DHA 335 mg & Vitamin D_3 400 IU/5 ml"
