division_slug,category_slug,name,slug,composition
surgeon,tablets-capsules,1) Zanoflex,1-zanoflex,Ofloxacin 400mg Tablets
surgeon,tablets-capsules,2) TUBER FORTE,2-tuber-forte,"Aceclofenac 100mg ,Paracetamol 325mg & Trypsin & Chymotrypsin (6;1)-1,50,000 IU Tablets"
surgeon,tablets-capsules,"3) WINHANCE TAB-Benfotiamine 200 mg, Methylcobalamin 1000 nano gram , Alpha Lipoic Acid 200 mg, Folic acid 1.5 mg, Chromium Picolinate 200 mcg, D Chiro inositol 13.8mg,  Myo",3-winhance-tab-benfotiamine-200-mg-methylcobalamin-1000-nano-gram-alpha-lipoic-acid-200-mg-folic-acid-1-5-mg-chromium-picolinate-200-mcg-d-chiro-inositol-13-8mg-myo,"Inositol 100 mg & Pyridoxine Hydrochloride 3 mg Tablets, Vitamin D3 600 IU"
surgeon,tablets-capsules,"4) CALVNH -Elemental Ca- 500 mg+ Vit D3-2000 IU, Methylcobalamin 1500 mcg, L Methylfolate calcium 1mg,Prridoxal 5 Phosphate",4-calvnh-elemental-ca-500-mg-vit-d3-2000-iu-methylcobalamin-1500-mcg-l-methylfolate-calcium-1mg-prridoxal-5-phosphate,20mg Tablets
surgeon,tablets-capsules,5) JIOMAX D3,5-jiomax-d3-2,"Calcitriol 0.25mcg,Methylcobalamin 1500mcg,Calcium Carbonate 500mg, Eicosapentaenoic Acid 180mg,Docosahexaenoic Acid 120mg,Folic Acid  400mcg  with Boron1.5mg Capsules"
surgeon,tablets-capsules,6) ESMOFRESH,6-esmofresh,Esomeprazole gastro-resistant tablets IP 40 mg
surgeon,tablets-capsules,7) ESMOFRESH DSR,7-esmofresh-dsr,Esomeprazole 40mg & Sustained release Domperidone 30mg capsules
surgeon,tablets-capsules,"8) Daily Solo Tablets - Astaxanthin 2mg, Taurine 100mg, Curcuma Longa 50 mg, Liquorice 30mg, Cinnamon 30mg, Clove 30mg, Cranberry 25 mg, Green Tea 25 mg, Boswellia serrata",8-daily-solo-tablets-astaxanthin-2mg-taurine-100mg-curcuma-longa-50-mg-liquorice-30mg-cinnamon-30mg-clove-30mg-cranberry-25-mg-green-tea-25-mg-boswellia-serrata,"25mg, Lycopene 2500 mcg , Multiminerals, Multivitamins"
surgeon,tablets-capsules,9) Myotizer,9-myotizer,"L carnitine, L  Tartarate, Vit E, Benfotiamine, Vit C, Co Q 10, Pyridoxine, Riboflavin"
surgeon,syrups,10) COLONEZ  PEG,10-colonez-peg,Polyethylene glycol 3350 USP 13.125g
surgeon,syrups,11) DE SATURATE,11-de-saturate,"Potassium Citrate 1100mg ,Magnesium Citrate 375 mg & Vitamin B6 20 mg / 5ml Oral Solution"
surgeon,syrups,"12) PURNAS 24 200 ML SYP-Multivitamin,Multimineral with L",12-purnas-24-200-ml-syp-multivitamin-multimineral-with-l,Lysine
surgeon,syrups,13) Daily Solo Syrup,13-daily-solo-syrup,"Multivitamins, Multiminerals, Taurine, Co-enzyme Q10, Alpha Lipolic Acid, Curcumin, Probiotics"
surgeon,nano-shots,14) D GOOD,14-d-good,Vitamin D3 oral solution 60000  IU/5 ml
