division_slug,category_slug,name,slug,composition
uro,tablets-capsules,Zanoflex,zanoflex,Ofloxacin 400mg Tablets
uro,tablets-capsules,TUBER FORTE,tuber-forte-2,"Aceclofenac 100mg ,Paracetamol 325mg & Trypsin & Chymotrypsin (6;1)-1,50,000 IU Tablets"
uro,tablets-capsules,ESMOFRESH,esmofresh-2,Esomeprazole gastro-resistant tablets IP 40 mg
uro,tablets-capsules,ESMOFRESH DSR,esmofresh-dsr-2,Esomeprazole 40mg & Sustained release Domperidone 30mg capsules
uro,tablets-capsules,"Daily Solo Tablets - Astaxanthin 2mg, Taurine 100mg, Curcuma Longa 50 mg, Liquorice 30mg, Cinnamon 30mg, Clove 30mg, Cranberry 25 mg, Green Tea 25 mg, Boswellia serrata",daily-solo-tablets-astaxanthin-2mg-taurine-100mg-curcuma-longa-50-mg-liquorice-30mg-cinnamon-30mg-clove-30mg-cranberry-25-mg-green-tea-25-mg-boswellia-serrata,"25mg, Lycopene 2500 mcg , Multiminerals, Multivitamins"
uro,syrups,COLONEZ  PEG,colonez-peg,Polyethylene glycol 3350 USP 13.125g
uro,syrups,DE SATURATE (200 ml),de-saturate-200-ml,"Potassium Citrate 1100mg ,Magnesium Citrate 375 mg & Vitamin B6 20 mg / 5ml Oral Solution"
uro,syrups,DE SATURATE (450 ml),de-saturate-450-ml,"Potassium Citrate 1100mg ,Magnesium Citrate 375 mg & Vitamin B6 20 mg / 5ml Oral Solution"
uro,syrups,"PURNAS 24 200 ML SYP-Multivitamin,Multimineral with L",purnas-24-200-ml-syp-multivitamin-multimineral-with-l-3,Lysine
uro,syrups,Daily Solo Syrup,daily-solo-syrup-2,"Multivitamins, Multiminerals, Taurine, Co-enzyme Q10, Alpha Lipolic Acid, Curcumin, Probiotics"
uro,nano-shots,D GOOD,d-good-2,Vitamin D3 oral solution 60000  IU/5 ml
